area_id,area_level,name_tr,parent_id,valid_from,valid_to,source_id,source_area_id
TR-22-002,district,Enez,TR-22,,,hdx_cod_ab_tur,TR-D-22-002
TR-22-003,district,Havsa,TR-22,,,hdx_cod_ab_tur,TR-D-22-003
TR-22-004,district,İpsala,TR-22,,,hdx_cod_ab_tur,TR-D-22-004
TR-22-005,district,Keşan,TR-22,,,hdx_cod_ab_tur,TR-D-22-005
TR-22-006,district,Lalapaşa,TR-22,,,hdx_cod_ab_tur,TR-D-22-006
TR-22-007,district,Meriç,TR-22,,,hdx_cod_ab_tur,TR-D-22-007
TR-22-008,district,Süloğlu,TR-22,,,hdx_cod_ab_tur,TR-D-22-008
TR-22-009,district,Uzunköprü,TR-22,,,hdx_cod_ab_tur,TR-D-22-009
TR-23-001,district,Ağın,TR-23,,,hdx_cod_ab_tur,TR-D-23-001
TR-23-002,district,Alacakaya,TR-23,,,hdx_cod_ab_tur,TR-D-23-002
TR-23-003,district,Arıcak,TR-23,,,hdx_cod_ab_tur,TR-D-23-003
TR-23-004,district,Baskil,TR-23,,,hdx_cod_ab_tur,TR-D-23-004
TR-23-005,district,Elazığ,TR-23,,,hdx_cod_ab_tur,TR-D-23-005
TR-23-006,district,Karakoçan,TR-23,,,hdx_cod_ab_tur,TR-D-23-006
TR-23-007,district,Keban,TR-23,,,hdx_cod_ab_tur,TR-D-23-007
TR-23-008,district,Kovancılar,TR-23,,,hdx_cod_ab_tur,TR-D-23-008
TR-23-009,district,Maden,TR-23,,,hdx_cod_ab_tur,TR-D-23-009
TR-23-010,district,Palu,TR-23,,,hdx_cod_ab_tur,TR-D-23-010
TR-23-011,district,Sivrice,TR-23,,,hdx_cod_ab_tur,TR-D-23-011
TR-24-001,district,Çayırlı,TR-24,,,hdx_cod_ab_tur,TR-D-24-001
TR-24-002,district,Erzincan,TR-24,,,hdx_cod_ab_tur,TR-D-24-002
TR-24-003,district,İliç,TR-24,,,hdx_cod_ab_tur,TR-D-24-003
TR-24-004,district,Kemah,TR-24,,,hdx_cod_ab_tur,TR-D-24-004
TR-24-005,district,Kemaliye,TR-24,,,hdx_cod_ab_tur,TR-D-24-005
TR-24-006,district,Otlukbeli,TR-24,,,hdx_cod_ab_tur,TR-D-24-006
TR-24-007,district,Refahiye,TR-24,,,hdx_cod_ab_tur,TR-D-24-007
TR-24-008,district,Tercan,TR-24,,,hdx_cod_ab_tur,TR-D-24-008
TR-24-009,district,Üzümlü,TR-24,,,hdx_cod_ab_tur,TR-D-24-009
TR-25-001,district,Aşkale,TR-25,,,hdx_cod_ab_tur,TR-D-25-001
TR-25-002,district,Aziziye,TR-25,,,hdx_cod_ab_tur,TR-D-25-002
